Mes,Temporada,id_edifici,planta_edifici,id_preu,num_botellas
Març,2017,XAL,2,6,7
Març,2017,XAL,3,6,9
Març,2017,XAL,4,6,14
Abril,2017,GRE,1,6,19
Abril,2017,GRE,2,6,8
Abril,2017,LLE,1,6,3
Abril,2017,LLE,2,6,3
Abril,2017,LLE,3,6,6
Abril,2017,LLE,4,6,38
Abril,2017,LLE,5,6,2
Abril,2017,XAL,1,6,3
Abril,2017,XAL,2,6,8
Abril,2017,XAL,3,6,18
Abril,2017,XAL,4,6,34
Maig,2017,GRE,1,6,16
Maig,2017,GRE,2,6,12
Maig,2017,LLE,1,6,3
Maig,2017,LLE,2,6,11
Maig,2017,LLE,3,6,26
Maig,2017,LLE,4,6,8
Maig,2017,XAL,1,6,5
Maig,2017,XAL,2,6,16
Maig,2017,XAL,3,6,17
Maig,2017,XAL,4,6,14
Septembre,2017,GRE,1,6,17
Septembre,2017,GRE,2,6,3
Septembre,2017,LLE,1,6,8
Septembre,2017,LLE,2,6,18
Septembre,2017,LLE,3,6,22
Septembre,2017,LLE,4,6,17
Septembre,2017,LLE,5,6,3
Septembre,2017,XAL,1,6,19
Septembre,2017,XAL,2,6,23
Septembre,2017,XAL,3,6,17
Septembre,2017,XAL,4,6,13
Octubre,2017,GRE,1,6,13
Octubre,2017,GRE,2,6,9
Octubre,2017,LLE,1,6,7
Octubre,2017,LLE,2,6,26
Octubre,2017,LLE,3,6,10
Octubre,2017,LLE,4,6,19
Octubre,2017,XAL,1,6,11
Octubre,2017,XAL,2,6,11
Octubre,2017,XAL,3,6,14
Octubre,2017,XAL,4,6,28
Novembre,2017,GRE,1,6,5
Novembre,2017,GRE,2,6,22
Novembre,2017,LLE,1,6,10
Novembre,2017,LLE,2,6,23
Novembre,2017,LLE,2,6,23
Novembre,2017,LLE,3,6,5
Novembre,2017,LLE,4,6,10
Novembre,2017,LLE,5,6,2
Novembre,2017,XAL,1,6,7
Novembre,2017,XAL,2,6,19
Novembre,2017,XAL,3,6,13
Novembre,2017,XAL,4,6,21
Decembre,2017,GRE,1,6,12
Decembre,2017,GRE,2,6,15
Decembre,2017,LLE,1,6,10
Decembre,2017,LLE,2,6,15
Decembre,2017,LLE,3,6,14
Decembre,2017,LLE,4,6,28
Decembre,2017,LLE,5,6,1
Decembre,2017,XAL,1,6,10
Decembre,2017,XAL,2,6,21
Decembre,2017,XAL,3,6,21
Decembre,2017,XAL,4,6,20
