Error en la consulta del 2013.
[INFO] Connect to Database established 25/03/2020 04:52:27pm
[INFO] Connect to Database established 25/03/2020 04:52:27pm
[INFO] Connect to Database established 25/03/2020 04:52:29pm
[INFO] Connect to Database established 25/03/2020 04:52:29pm
[INFO] Connect to Database established 25/03/2020 04:52:33pm
[INFO] Connect to Database established 25/03/2020 04:52:33pm
[INFO] Connect to Database established 25/03/2020 04:52:36pm
[INFO] Connect to Database established 25/03/2020 04:52:36pm
[INFO] Connect to Database established 25/03/2020 04:52:52pm
[INFO] Connect to Database established 25/03/2020 04:52:52pm
[INFO] Connect to Database established 25/03/2020 04:53:11pm
[INFO] Connect to Database established 25/03/2020 04:53:11pm
[INFO] Connect to Database established 25/03/2020 04:53:18pm
[INFO] Connect to Database established 25/03/2020 04:53:18pm
[INFO] Connect to Database established 26/03/2020 11:23:37am
[INFO] Connect to Database established 26/03/2020 11:23:57am
[INFO] Connect to Database established 26/03/2020 11:23:57am
[INFO] Connect to Database established 26/03/2020 11:24:02am
[INFO] Connect to Database established 26/03/2020 11:24:02am
[INFO] Connect to Database established 26/03/2020 11:24:05am
[INFO] Connect to Database established 26/03/2020 11:24:05am
[INFO] Connect to Database established 26/03/2020 11:40:54am
[INFO] Connect to Database established 26/03/2020 11:40:54am
[INFO] Connect to Database established 26/03/2020 11:40:58am
[INFO] Connect to Database established 26/03/2020 11:40:58am
[INFO] Connect to Database established 26/03/2020 11:41:03am
[INFO] Connect to Database established 26/03/2020 11:41:03am
[INFO] Connect to Database established 26/03/2020 11:41:16am
[INFO] Connect to Database established 26/03/2020 11:41:16am
[INFO] Connect to Database established 26/03/2020 11:41:41am
[INFO] Connect to Database established 26/03/2020 11:41:41am
[INFO] Connect to Database established 26/03/2020 11:41:55am
[INFO] Connect to Database established 26/03/2020 11:41:55am
[INFO] Connect to Database established 26/03/2020 11:41:57am
[INFO] Connect to Database established 26/03/2020 11:41:57am
[INFO] Connect to Database established 26/03/2020 11:42:04am
[INFO] Connect to Database established 26/03/2020 11:42:07am
[INFO] Connect to Database established 26/03/2020 11:42:10am
[INFO] Connect to Database established 26/03/2020 11:42:12am
[INFO] Connect to Database established 26/03/2020 11:42:14am
[INFO] Connect to Database established 26/03/2020 11:42:15am
[INFO] Connect to Database established 26/03/2020 11:42:15am
[INFO] Connect to Database established 26/03/2020 11:42:17am
[INFO] Connect to Database established 26/03/2020 11:42:26am
[INFO] Connect to Database established 26/03/2020 11:46:49am
[INFO] Connect to Database established 26/03/2020 11:47:30am
[INFO] Connect to Database established 26/03/2020 11:47:33am
[INFO] Connect to Database established 26/03/2020 11:47:40am
[INFO] Connect to Database established 26/03/2020 11:47:43am
[INFO] Connect to Database established 26/03/2020 11:47:49am
[INFO] Connect to Database established 26/03/2020 12:29:24pm
[INFO] Connect to Database established 26/03/2020 12:29:47pm
[INFO] Connect to Database established 26/03/2020 12:52:51pm
[INFO] Connect to Database established 26/03/2020 12:52:51pm
[INFO] Connect to Database established 26/03/2020 12:53:03pm
[INFO] Connect to Database established 26/03/2020 12:53:03pm
[INFO] Connect to Database established 26/03/2020 01:09:31pm
[INFO] Connect to Database established 26/03/2020 01:09:40pm
[INFO] Connect to Database established 26/03/2020 01:09:40pm
[INFO] Connect to Database established 26/03/2020 01:19:52pm
[INFO] Connect to Database established 26/03/2020 01:19:52pm
[INFO] Connect to Database established 26/03/2020 01:19:58pm
[INFO] Connect to Database established 26/03/2020 01:40:23pm
[INFO] Connect to Database established 26/03/2020 01:40:23pm
[INFO] Connect to Database established 26/03/2020 01:43:49pm
[INFO] Connect to Database established 26/03/2020 01:45:03pm
[INFO] Connect to Database established 26/03/2020 01:46:14pm
[INFO] Connect to Database established 26/03/2020 05:39:31pm
[INFO] Connect to Database established 26/03/2020 05:39:36pm
[INFO] Connect to Database established 26/03/2020 05:39:36pm
[INFO] Connect to Database established 26/03/2020 05:39:40pm
[INFO] Connect to Database established 26/03/2020 05:39:40pm
[INFO] Connect to Database established 26/03/2020 05:46:26pm
[INFO] Connect to Database established 26/03/2020 05:46:29pm
[INFO] Connect to Database established 26/03/2020 05:46:30pm
[INFO] Connect to Database established 26/03/2020 05:46:31pm
[INFO] Connect to Database established 26/03/2020 05:46:32pm
[INFO] Connect to Database established 26/03/2020 05:46:33pm
[INFO] Connect to Database established 26/03/2020 05:46:33pm
[INFO] Connect to Database established 26/03/2020 05:46:37pm
[INFO] Connect to Database established 26/03/2020 05:46:38pm
[INFO] Connect to Database established 26/03/2020 05:46:41pm
[INFO] Connect to Database established 26/03/2020 05:46:41pm
[INFO] Connect to Database established 26/03/2020 05:46:43pm
[INFO] Connect to Database established 26/03/2020 05:46:43pm
[INFO] Connect to Database established 26/03/2020 05:46:57pm
[INFO] Connect to Database established 26/03/2020 05:46:57pm
[INFO] Connect to Database established 26/03/2020 05:49:53pm
[INFO] Connect to Database established 26/03/2020 05:49:53pm
[INFO] Connect to Database established 26/03/2020 05:50:04pm
[INFO] Connect to Database established 26/03/2020 05:50:04pm
[INFO] Connect to Database established 26/03/2020 05:50:56pm
[INFO] Connect to Database established 26/03/2020 05:50:56pm
[INFO] Connect to Database established 26/03/2020 05:50:57pm
[INFO] Connect to Database established 26/03/2020 05:50:57pm
[INFO] Connect to Database established 26/03/2020 06:00:58pm
[INFO] Connect to Database established 26/03/2020 06:01:00pm
[INFO] Connect to Database established 26/03/2020 06:17:05pm
[INFO] Connect to Database established 26/03/2020 06:17:05pm
[INFO] Connect to Database established 26/03/2020 06:18:44pm
